"operation_Name","count_total"
"MyIvecoApiTranslator-B2C;rev=1 - post-api-dashboardlight-dailychartdsescoreengineuse-lang-lang-start-start-en",423
"MyIvecoApiTranslatorRoot-B2C;rev=1 - post-api-dashboardlight-dailychartdsescoreengineuse-lang-lang-start-start-en",423
"managements-cnhi-myiveco-portal-2-0;rev=1 - createFleet",54
"MyIvecoApiTranslatorRoot-B2C;rev=1 - post-api-dashboardlight-dailychartdsescoreeco-lang-lang-start-start-end-end",424
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardheavy-monitoreddrivers-lang-lang-fleetid-fleetid-start-star",404
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardheavy-vehiclespositionspoints-vin-vin-start-start-end-end-p",54
"wdg-cnhi-myiveco-portal-2-0;rev=1 - post-widgets-id-tips-tip-id",718
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardheavy-getwidgetvehicles-lang-lang-vehicletype-vehicletype",127
"MyIvecoApiTranslator-B2C;rev=1 - post-api-dashboardlight-dailychartdsescoreeco-lang-lang-start-start-end-end",424
"acl-cnhi-myiveco-portal-2-0;rev=1 - getReportsTable",10238
"acl-cnhi-myiveco-portal-2-0;rev=1 - getReportsOverview",4844
"acl-cnhi-myiveco-portal-2-0;rev=1 - putPrivacySettings",236
"acl-cnhi-myiveco-portal-2-0;rev=1 - getPrivacySettings",519
"acl-cnhi-myiveco-portal-2-0;rev=1 - getDemoAppointmentReport",767
"managements-cnhi-myiveco-portal-2-0-b2c;rev=1 - getFWFile",266
"managements-cnhi-myiveco-portal-2-0-b2c;rev=1 - getFWVersion",434
"acl-cnhi-myiveco-portal-2-0;rev=1 - getUserDetails",886
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardheavy-engineuse-lang-lang-fleetid-fleetid-start-start-end-e",56
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardheavy-fuelsaving-lang-lang-fleetid-fleetid-start-start-end",153
"MyIvecoApiTranslatorRoot-B2C;rev=1 - post-app-v1-forgotpswrequest",282
"MyIvecoApiTranslatorRoot-B2C;rev=1 - put-api-logged-user-v1-userinfo",753
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardall-generatepin-serviceid-serviceid",650
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardheavy-deceleration-lang-lang-fleetid-fleetid-start-start-en",56
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardheavy-deceleration-lang-lang-fleetid-fleetid-start-start-en",56
"MyIvecoApiTranslator-B2C;rev=1 - put-api-logged-user-v1-userinfo",750
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardall-generatepin-serviceid-serviceid",650
"managements-cnhi-myiveco-portal-2-0;rev=1 - get-edaily-adv-pin",140
"acl-cnhi-myiveco-portal-2-0;rev=1 - getPinServiceList",421
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardheavy-vehiclecare-lang-lang-fleetid-fleetid-start-start-end",155
"acl-cnhi-myiveco-portal-2-0;rev=1 - getReportsTableExport",848
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardheavy-vehiclecare-lang-lang-fleetid-fleetid-start-start-end",154
"wdg-cnhi-myiveco-portal-2-0;rev=1 - post-widgets-id-vehicles-vehicle-id",265
"wdg-cnhi-myiveco-portal-2-0;rev=1 - delete-widgets-id-vehicles-vehicle-id",22
"MyIvecoApiTranslator-B2C;rev=1 - createdriverassociation",266
"acl-cnhi-myiveco-portal-2-0;rev=1 - getAllMessages",46
"managements-cnhi-myiveco-portal-2-0;rev=1 - get-edaily-adv-pin-simulation",216
"wdg-cnhi-myiveco-portal-2-0;rev=1 - post-widgets-id-drivers-driver-id",392
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardheavy-auxiliarybrake-lang-lang-fleetid-fleetid-start-start",28
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardheavy-tires-lang-lang-fleetid-fleetid-start-start-end-end-p",28
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardheavy-auxiliarybrake-lang-lang-fleetid-fleetid-start-start",28
"recaller-cnhi-myiveco-portal-2-0;rev=1 - get-campaigns-export",115
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardheavy-fuelsaving-lang-lang-fleetid-fleetid-start-start-end",152
"managements-cnhi-myiveco-portal-2-0;rev=1 - getThirdPartyWidgetFiles",12
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardheavy-smartdriving-lang-lang-fleetid-fleetid-start-start-en",152
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardheavy-smartdriving-lang-lang-fleetid-fleetid-start-start-en",152
"acl-cnhi-myiveco-portal-2-0;rev=1 - saveDemoTestDrive",860
"acl-cnhi-myiveco-portal-2-0;rev=1 - getVehiclesListExport",304
"managements-cnhi-myiveco-portal-2-0;rev=1 - deleteFleet",16
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardheavy-acceleration-lang-lang-fleetid-fleetid-start-start-en",56
"MyIvecoApiTranslator-B2C;rev=1 - post-app-v1-forgotpswrequest",284
"managements-cnhi-myiveco-portal-2-0;rev=1 - getDownloadTutorial",489
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardheavy-acceleration-lang-lang-fleetid-fleetid-start-start-en",56
"acl-cnhi-myiveco-portal-2-0;rev=1 - addElement",616
"contracts-cnhi-myiveco-portal-2-0;rev=1 - getSkaHomeDealerAssociationExport",120
"managements-cnhi-myiveco-portal-2-0;rev=1 - post-edaily-adv",40
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardheavy-engineuse-lang-lang-fleetid-fleetid-start-start-end-e",56
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardheavy-tires-lang-lang-fleetid-fleetid-start-start-end-end-p",28
